Emotion,Time Step
sad,101.36
sad,101.4
neutral,101.44
sad,101.48
sad,101.52
sad,101.56
sad,101.6
sad,101.64
sad,101.68
sad,101.72
sad,101.76
sad,101.8
sad,101.84
fear,101.88
sad,101.92
sad,101.96
sad,102.0
sad,102.04
sad,102.08
sad,102.12
sad,102.16
sad,102.2
fear,102.24
sad,102.28
sad,102.32
sad,102.36
sad,102.4
sad,102.44
sad,102.6
sad,102.68
sad,102.72
sad,102.8
sad,102.92
sad,102.96
sad,103.0
sad,103.04
sad,103.08
sad,103.12
sad,103.16
sad,103.2
sad,103.24
angry,103.28
sad,103.32
sad,103.36
sad,103.4
sad,103.44
sad,103.48
sad,103.52
sad,103.56
sad,103.6
sad,103.64
sad,103.68
sad,103.72
sad,103.76
sad,103.8
sad,103.84
sad,103.88
sad,103.92
sad,103.96
sad,104.0
sad,104.04
sad,104.08
sad,104.2
sad,104.24
sad,104.28
sad,104.32
sad,104.36
sad,104.4
sad,104.44
sad,104.48
sad,104.52
sad,104.56
sad,104.6
sad,104.64
sad,104.68
angry,104.72
sad,104.76
sad,104.8
sad,104.84
angry,104.88
sad,104.92
sad,104.96
sad,105.0
sad,105.04
sad,105.08
sad,105.12
sad,105.16
sad,105.2
sad,105.24
sad,105.28
sad,105.32
sad,105.36
sad,105.4
sad,105.44
sad,105.48
sad,105.52
sad,105.56
sad,105.6
sad,105.64
sad,105.68
sad,105.72
sad,105.76
sad,105.8
sad,105.84
sad,105.88
sad,105.92
sad,105.96
sad,106.0
sad,106.04
sad,106.08
sad,106.12
sad,106.16
sad,106.2
sad,106.24
sad,106.28
neutral,106.32
surprise,106.76
surprise,106.8
surprise,106.84
surprise,106.88
sad,106.92
sad,106.96
surprise,107.0
